,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,label,gmm_id,weights
10717,0.3002,0.2922,1.0098,0.6088,1.3281,0.3112,0.7345,0.8358,0.888,0.6585,0.1711,0.704,0.2822,0.7688,0.2301,0.6715,0.4989,0.439,0.8748,0.3841,0.828,0.5762,0.893,0.9074,0.7581,0.842,0.4706,0.1322,0.3223,0.7983,-0.1994,0.5329,0.5903,0.2533,0.2662,1.0659,-0.0507,0.4219,0.7309,0.6454,0.8031,0.2345,0.472,0.4098,1.3013,0.8377,1.0343,0.3034,1.3855,0.2431,8,5,1.0
1069,0.4767,0.4165,0.2035,-0.0021,0.5266,1.2158,-0.0985,0.2724,0.1865,0.2234,0.6735,0.193,0.3782,0.3877,0.6705,0.6452,0.8059,0.7041,-0.048,0.3406,0.7947,0.0946,0.4063,0.8226,0.5515,-0.3248,-0.2781,0.3283,0.4721,0.617,0.3504,0.0166,0.7401,0.7536,0.6088,0.741,0.3319,0.5974,1.1325,0.8145,0.0454,-0.0369,1.0405,0.4661,0.1439,0.1775,0.9211,0.8881,0.4078,0.6163,0,6,1.0
5858,0.5816,0.728,0.7012,0.7325,0.3623,0.1514,0.8525,0.2082,0.1644,0.6044,1.0037,0.7544,0.6423,0.5867,-0.0971,0.2093,0.8379,1.0295,0.9833,1.0961,0.0613,0.2583,0.1527,-0.0242,0.1203,0.732,0.6321,1.0161,0.2037,0.0813,0.0387,1.3031,0.917,0.1618,0.3925,0.3435,1.2304,0.8458,0.2995,0.6301,0.8567,1.1357,0.3154,0.6312,1.1035,0.1279,-0.2926,0.9594,0.997,0.7936,4,6,1.0
7124,0.5288,0.0589,0.6798,0.7071,0.5042,0.9665,-0.2306,0.259,0.197,0.9477,0.1503,0.55,1.034,0.1932,0.151,0.2005,0.6008,0.5205,0.5438,0.9031,0.356,0.4933,0.2177,0.9171,0.8099,0.6231,0.8025,0.3325,0.8301,0.2206,0.5049,0.9974,0.0572,0.082,0.4014,0.3189,1.1067,0.5336,0.5612,0.2583,0.7954,0.8006,0.212,0.575,0.5851,0.6358,1.0807,0.7876,0.3402,1.2017,5,5,1.0
8893,0.0244,0.8435,0.7124,0.5201,0.4679,0.5735,0.7972,0.5988,0.6605,0.232,0.9945,-0.2416,0.8734,0.872,0.6675,0.0184,-0.1534,-0.0784,0.4286,0.2554,0.6936,-0.1282,0.3598,0.9526,0.7946,1.1035,0.7419,0.2305,0.6236,-0.0035,0.4892,0.1032,0.3896,0.9671,1.0231,0.437,0.4692,0.4409,-0.0926,0.7133,0.4372,0.9333,0.8466,0.6764,0.7227,0.4123,0.7398,0.874,0.255,0.5788,7,6,1.0
5102,0.7518,0.7257,0.2167,0.5675,0.1706,-0.0849,0.5266,0.1898,0.3962,0.945,0.6402,0.093,0.8171,-0.0471,0.9179,0.3567,0.7952,0.1608,0.9434,0.424,0.573,0.2674,0.8299,0.1235,0.6652,0.079,0.3605,-0.1812,0.0171,0.6021,0.6476,0.2494,0.1747,0.4813,1.0677,0.1035,0.3072,-0.0084,0.2713,0.4034,0.1673,0.5001,0.0919,-0.1268,0.8726,0.0723,0.3177,0.9914,0.8243,0.3163,4,9,1.0
10813,0.3392,0.5985,1.1124,0.6476,1.1914,0.3197,0.8483,0.6895,0.9479,1.2051,0.2285,0.7969,0.5305,0.5203,-0.0117,1.0014,0.6088,0.9001,0.6565,1.1256,0.2012,0.6188,1.2325,0.4899,1.0337,1.0578,1.1696,-0.0425,0.585,0.5671,0.166,0.3429,0.4747,0.3912,0.7594,0.683,0.5017,-0.0471,1.1733,1.0115,0.8883,0.1266,0.9545,0.1692,1.1058,1.0161,1.0406,0.3525,0.9195,0.5245,8,5,1.0
10950,0.9931,0.4421,0.7107,0.1705,0.1847,0.7611,0.1931,0.5654,0.796,0.0374,0.0382,0.19,0.7878,-0.0352,0.4838,0.2445,-0.0154,0.6142,-0.0136,0.7463,0.6013,0.1056,0.4281,0.0124,0.0366,1.1078,0.5956,0.2194,0.9328,0.0885,0.1279,0.6166,0.8223,0.6025,0.8127,0.5985,1.0322,0.2816,0.3968,0.3404,0.7468,0.0733,0.4426,0.441,-0.165,0.2997,0.9395,0.7407,0.4407,0.6337,9,8,1.0
7489,0.5996,0.4705,0.5143,0.2579,0.992,0.2325,0.7263,0.702,0.0559,0.923,0.7246,0.0041,0.2101,0.6673,0.5825,1.2299,0.7701,0.9074,1.3991,0.5072,0.773,0.2399,-0.1046,0.1094,0.6017,-0.0019,0.5972,0.2532,0.3292,1.0419,0.8382,0.5836,-0.0813,0.4849,1.1973,0.4031,1.0527,0.672,-0.0218,0.1146,-0.1104,0.1476,0.6125,0.2125,0.0708,0.0509,0.2997,0.5507,0.2175,0.6853,6,0,1.0
10763,0.0631,-0.1391,0.7169,0.706,0.8516,0.7594,0.9119,0.4772,0.7559,1.0202,-0.0684,0.9374,0.2191,0.8367,0.1744,0.4831,0.3252,1.0497,0.5862,1.1943,0.6213,1.1182,0.5358,0.9227,1.7702,0.8774,0.5578,0.1829,0.6933,0.7313,0.4202,0.6981,0.8342,0.1651,0.8866,0.4298,0.0934,-0.0377,0.7565,0.6051,1.3077,0.4851,0.8238,0.3358,1.4445,0.8764,0.9134,0.3724,1.0041,0.7981,8,5,1.0
3028,1.0234,0.4066,-0.0953,0.3981,0.7734,0.5677,1.099,0.782,0.0562,0.6788,0.1685,0.4068,0.4695,0.6156,0.7123,-0.172,1.0612,0.8834,0.6409,0.6775,1.0123,0.2372,0.9618,0.7817,0.3104,0.1407,0.8925,0.7805,0.3987,0.895,0.4329,0.4417,-0.2029,0.4087,0.4774,0.87,0.6272,0.6064,1.0003,0.335,1.1191,0.924,-0.1968,0.9638,1.0201,0.7066,1.0201,0.4425,0.9589,1.0338,2,7,1.0
7433,-0.0006,0.9319,0.3739,0.2695,0.772,0.805,1.3731,-0.0558,0.33,0.6781,0.2761,-0.1644,0.1245,-0.0973,0.3359,0.5006,0.3046,0.8719,0.3844,0.6664,0.48,0.3881,0.6607,0.3642,1.4848,-0.0318,-0.2085,0.3452,0.5681,0.385,0.1392,0.4972,0.1198,0.3761,1.0289,-0.2624,0.9975,0.1635,0.0631,0.5144,0.4375,0.2228,1.0384,0.5854,0.2229,0.2012,0.8349,0.8371,0.1634,0.6252,6,9,1.0
8124,0.2483,0.2316,0.2065,0.5513,0.4924,0.0659,0.1013,0.7811,0.4738,0.0328,0.2086,0.196,0.4717,0.1573,0.9911,0.0974,0.6435,0.8632,-0.4305,-0.0525,0.193,0.1585,0.1774,0.5062,-0.2079,1.02,-0.0746,0.7847,0.476,0.9316,0.5034,0.5146,0.5747,0.248,0.6534,0.1751,0.8215,0.117,0.6141,-0.2476,0.6691,1.0906,0.303,1.0251,0.5937,0.4196,-0.0405,0.6543,0.3522,0.7442,6,5,1.0
6962,0.2203,0.2119,1.0964,0.9549,0.8025,0.6191,0.0583,0.3206,0.2863,0.8656,0.0879,0.5344,0.6884,0.2463,-0.0181,0.3992,0.3656,0.725,0.394,0.807,0.082,0.482,0.3241,0.6118,0.1105,0.598,1.0138,0.6061,0.6528,0.2523,0.5761,1.2583,0.4661,0.1245,0.312,0.2976,1.0017,0.6042,0.8831,-0.0221,0.6458,0.6908,-0.0036,0.3016,0.38,0.5932,1.0909,1.0867,0.6982,0.5651,5,5,1.0
8683,0.8143,0.1636,0.88,0.0079,0.7271,0.3584,0.2109,0.9721,0.924,1.0754,0.0466,0.036,0.4754,0.842,0.1495,0.7232,0.001,0.6077,0.7779,0.8518,0.1864,1.0045,0.332,0.6269,0.2647,0.9126,0.2549,0.2945,0.6676,0.5376,0.0331,0.5489,0.4275,0.3447,0.4458,0.555,0.2209,0.8257,0.5119,0.5332,0.1515,0.9949,1.1675,0.7113,0.4849,1.1709,1.1635,0.1401,0.7622,0.3434,6,7,1.0
11358,-0.212,0.9849,1.0718,0.8207,0.8655,-0.2443,0.5395,0.3231,-0.1969,0.4832,0.4418,0.2639,0.3331,0.2872,0.6111,-0.0943,0.5842,0.3992,0.7352,0.5309,0.2656,0.3315,0.6591,0.6218,0.2982,0.534,0.5034,0.1035,1.2758,0.3309,0.5425,0.0434,0.4153,0.5085,-0.0289,0.861,-0.2251,0.6101,-0.1701,0.1211,0.2408,0.4527,-0.0119,0.7019,0.1192,0.0729,0.2086,0.2808,0.5126,-0.0709,9,5,1.0
7252,0.1808,0.0146,0.319,0.4921,0.4558,0.1216,0.5644,-0.1615,0.4053,1.0578,0.5159,0.2355,0.3185,0.3369,-0.0685,0.2717,0.5918,0.1189,0.5103,0.5146,0.495,0.217,0.1835,0.5033,0.9564,0.0614,0.327,0.4791,0.5421,0.2149,0.6319,-0.0153,0.825,0.7826,0.6216,0.2965,0.1936,0.8556,0.1502,0.4437,0.2275,0.556,0.6933,0.7731,0.3697,0.3312,0.7684,0.8186,0.2179,0.6012,6,9,1.0
766,0.3225,0.3626,-0.0636,0.8332,0.4939,-0.0367,0.5316,0.6124,0.8554,0.7981,0.3015,0.5591,0.6773,0.7346,0.5599,0.3672,0.3143,0.2451,0.611,0.8078,0.8145,0.8793,0.806,0.79,0.0005,0.7307,-0.1041,0.3177,0.8113,0.4827,1.0476,1.3118,0.5967,0.4203,0.7115,0.5756,1.2576,0.2234,0.8924,0.8405,0.1942,0.9038,0.2782,-0.0097,0.4749,-0.0898,0.5167,0.6925,0.8781,0.1109,0,8,1.0
9864,0.3787,0.2592,0.1738,0.1396,0.5315,0.9781,0.6412,0.8392,1.109,0.3722,0.3136,0.4118,0.5408,0.1901,0.3951,-0.009,0.1196,-0.2774,1.2178,0.268,0.1449,0.8119,0.9055,0.3427,0.8331,0.3632,0.5363,1.0088,0.9296,-0.302,0.7371,0.8654,1.3516,0.2677,0.823,1.018,0.3026,0.9151,0.3559,0.9421,-0.0936,0.5319,0.4153,0.3817,-0.2082,0.4103,0.2389,0.1381,0.4494,0.205,7,7,1.0
8268,0.4093,0.3102,0.7959,0.9532,0.5826,0.8886,0.2754,0.904,0.4948,0.1885,0.5806,0.6489,0.4426,0.7845,0.9136,0.9715,0.0245,0.1346,1.2468,0.9185,0.8738,0.7886,0.0908,0.8155,0.4831,0.5785,0.3786,0.6807,0.4705,0.1479,-0.2001,0.7052,0.7237,1.032,0.3739,0.5288,0.2794,0.1944,0.1281,1.0886,0.2055,0.2979,-0.3568,0.5097,0.2508,0.8258,0.4726,0.182,0.5176,0.7515,6,8,1.0
1705,-0.1715,0.3277,-0.0409,0.9322,0.0223,0.9693,-0.0107,0.6423,0.0576,0.5459,0.9296,-0.1532,0.9731,0.6828,0.6754,1.3334,0.3907,0.5731,0.8393,-0.1137,0.4299,0.5866,0.6191,-0.0047,0.1812,-0.2818,0.756,1.0597,0.938,0.9866,1.0385,0.8243,0.4793,0.3212,0.4917,0.6935,0.4445,0.4556,-0.1661,0.2281,0.6804,0.5055,0.0526,0.632,0.3677,-0.1197,1.0049,-0.0204,0.4654,0.2514,1,6,1.0
6878,0.477,0.2596,0.6679,0.8151,0.479,0.4573,0.0045,0.2868,0.5382,0.5448,-0.1012,0.3925,1.1564,0.2548,0.6057,0.0567,0.3111,1.0249,0.1348,0.5645,-0.1307,0.8796,0.2117,0.8032,0.2318,0.7363,0.7181,0.679,0.5156,0.3595,0.0572,0.7226,0.2358,0.4971,0.2246,0.3598,1.4764,-0.173,0.5835,0.2154,0.5773,0.7086,0.0343,0.5441,0.732,0.507,1.0728,0.7648,-0.0095,0.7188,5,5,1.0
7310,-0.0606,0.3379,0.2661,0.3591,0.5778,0.5154,0.6526,-0.2383,0.004,0.7836,0.1673,0.2866,0.3155,0.0542,0.2652,0.7815,0.9233,0.7177,0.2675,0.6135,0.2752,0.2916,0.2241,0.3411,0.6547,0.571,0.0628,0.5728,0.857,0.5306,0.7104,0.4545,0.6397,0.4279,0.6456,0.1475,0.4481,0.6465,0.5989,0.4059,0.104,0.4953,0.7641,0.6417,0.2585,0.1281,1.0145,0.704,0.1301,0.7204,6,9,1.0
4817,0.2734,1.0212,0.2388,0.642,0.381,0.2207,0.2135,0.7811,1.0676,0.7953,0.9678,1.021,0.3347,-0.2102,0.8644,0.9799,0.4353,1.159,0.7819,0.6565,0.9151,0.5966,0.5229,0.0928,0.7242,0.9334,0.2446,1.13,0.3432,0.5144,0.7275,0.8654,0.5516,0.3427,0.5149,0.3383,1.2891,0.5474,0.2,-0.0483,0.6669,1.1362,0.8445,0.5072,0.3845,-0.0117,0.3114,0.0021,0.5222,0.675,3,5,1.0
6416,0.2763,0.2461,0.3981,0.6143,-0.0966,0.5618,0.0682,0.5486,0.4865,0.8612,0.9624,0.4871,0.4873,0.5648,0.4294,0.3304,0.1749,0.4201,0.4465,0.6096,0.8863,0.6964,0.4249,0.1123,0.1618,0.0521,0.7925,0.6405,0.2747,0.6235,0.3197,0.9691,-0.0463,0.8461,0.3489,0.0445,1.0374,0.456,-0.2247,0.4679,0.377,0.3156,0.609,-0.2542,0.0297,0.0607,0.3871,0.4231,1.1219,0.0015,4,7,1.0
3886,0.1933,0.9909,0.4627,0.501,0.3266,0.228,-0.0641,0.6142,0.2318,-0.2427,0.5494,-0.1727,-0.0686,-0.3342,0.3524,0.1869,-0.0688,0.6959,-0.0045,0.9794,-0.0043,0.5368,0.4392,0.1955,-0.1656,0.7249,0.5922,-0.0643,0.9814,0.296,0.8279,0.5673,0.9487,1.2841,-0.1015,0.1869,0.2176,0.9392,0.3017,0.8375,0.888,1.1424,0.2437,0.1321,0.5682,0.9941,0.9287,1.0447,1.1813,1.0858,3,7,1.0
11333,0.1678,0.5775,0.8831,0.796,0.3597,-0.0315,0.721,0.5105,-0.4467,1.0031,0.7331,0.8073,0.6903,0.861,0.4549,0.3045,0.3058,0.2517,0.4559,0.4117,-0.1585,0.2281,0.7942,0.4261,0.6833,0.2353,0.1434,0.2427,0.8589,0.4388,0.5407,0.009,0.5767,0.3834,0.0045,0.3765,0.0553,1.0755,-0.0595,0.8163,-0.3531,0.1026,0.1013,0.6421,-0.5434,0.3953,0.1912,0.0256,0.133,0.2761,9,5,1.0
10108,0.1981,0.4154,0.8346,0.6743,0.5702,0.4391,0.8386,-0.0614,0.2631,0.1366,0.5789,0.8043,0.3816,0.5555,0.7298,0.6514,1.0266,0.7736,0.1057,0.9531,0.1272,1.261,0.5982,0.4526,0.5889,0.7912,0.6586,0.264,0.7984,0.2159,0.3369,0.0945,0.2616,0.2661,0.7831,1.0253,0.1775,0.2757,0.4392,0.5831,0.2656,0.4042,0.2341,0.2965,0.3919,0.6845,1.4696,0.2645,0.3115,0.6912,8,9,1.0
3992,0.0025,0.7965,0.6511,0.6202,0.0616,0.3371,0.1549,0.2754,0.303,0.093,0.8798,0.454,-0.0725,-0.0881,0.48,0.6527,-0.4353,1.0866,0.1716,1.1013,0.4308,0.7833,0.1988,0.3364,0.7576,0.4527,0.8773,0.1367,0.6025,0.45,0.962,0.6191,1.0616,1.0867,0.1275,-0.1448,0.1056,0.9409,0.5952,1.7303,1.1825,1.2142,0.301,-0.0678,0.8484,0.4695,0.87,0.6653,0.5508,0.3793,3,7,1.0
7342,0.3171,0.427,0.1464,0.1234,0.6255,-0.4311,0.3566,0.169,0.3595,0.6078,0.4431,0.0636,0.1105,0.1224,0.4386,0.3775,0.9097,0.5565,0.2615,0.8806,0.6028,0.0593,-0.0164,0.6045,1.2031,0.5907,0.0287,0.3084,0.723,-0.1173,0.4981,-0.1566,0.2683,0.7154,0.6838,0.4335,0.5934,0.6349,0.2115,0.1433,-0.0311,1.0096,0.7001,0.8744,0.2022,0.1805,0.6968,0.9651,0.2412,0.9346,6,9,1.0
10869,0.0286,0.6589,0.9864,0.5904,0.7329,0.9256,0.956,0.4768,0.7399,0.7448,0.1541,0.2456,0.5972,0.673,-0.1539,0.6599,0.6145,0.9738,0.9392,0.8541,1.2015,0.8468,0.7089,0.9764,1.1121,0.9624,1.1368,0.2422,0.7365,1.0118,0.3389,0.8342,0.8266,0.1648,0.6688,0.8815,-0.0704,0.3371,1.0153,0.5882,1.1445,0.7765,0.7883,0.2655,0.8053,0.8833,1.3674,0.2688,0.5408,0.62,8,5,1.0
11401,0.199,0.8093,1.0277,0.8835,0.9081,-0.2055,0.4133,0.2549,0.0549,1.0531,0.5349,0.7545,0.6398,0.3843,0.8363,0.0419,0.1772,0.6608,1.0471,0.0963,-0.0442,0.2612,0.5241,1.2181,0.5016,0.2802,0.3439,-0.1242,0.4072,0.5236,0.3118,0.6645,0.248,0.8226,0.167,0.9794,0.1426,0.9758,0.4099,0.996,0.3744,0.143,0.2929,0.7711,0.0244,0.205,0.4952,-0.1175,0.2629,0.3206,9,5,1.0
7242,0.0823,0.283,0.3184,0.1108,0.2868,0.4548,0.8639,0.4013,0.0624,1.2704,0.622,-0.3199,0.1031,0.2206,-0.1725,0.5107,0.3728,0.5693,0.2111,0.4571,0.3435,-0.3706,0.0725,-0.0051,1.5155,0.6647,0.0736,0.9849,0.5945,0.7995,0.0231,0.4609,0.7693,0.2448,0.9236,0.0441,0.797,0.5933,0.2208,0.6608,-0.1145,0.2397,0.4383,-0.0176,0.3718,0.1428,0.9212,0.7855,0.1153,0.4015,6,9,1.0
8374,0.6131,0.1782,1.0967,0.5413,-0.29,0.6174,0.4956,1.0228,0.5558,0.432,0.5233,0.7111,0.718,0.3127,0.7353,1.033,-0.2293,0.1312,0.668,0.989,0.6887,0.3126,0.119,0.6131,0.3513,0.8569,0.1684,0.9228,0.4862,-0.2622,0.1903,0.7377,0.7835,1.2917,0.5202,0.7867,0.1663,0.015,0.1803,0.5607,0.2606,0.0553,0.0437,0.2905,0.2823,0.4158,0.4771,0.1862,1.0568,0.3328,6,8,1.0
4584,0.2812,0.5646,0.4586,0.1924,0.1002,0.8651,0.8634,0.7165,0.0612,0.344,0.5859,0.5633,0.2956,0.8102,0.7919,0.5672,0.5786,-0.0114,0.321,1.3356,0.113,0.8725,0.6052,0.1281,-0.058,-0.0704,0.1984,1.0204,-0.2359,0.9887,0.3791,0.8952,1.3225,0.6271,0.589,0.607,0.8922,1.0646,0.6814,0.8613,0.5385,0.0923,0.3527,0.2615,0.7844,0.7772,-0.0455,0.1891,0.317,0.5016,3,8,1.0
11379,0.3459,0.8791,0.8314,0.7765,0.9434,0.2156,0.5206,0.6837,0.2135,0.73,0.5385,0.7272,1.1266,0.8854,0.7084,0.3518,1.0969,0.336,0.4293,0.2015,0.2387,-0.0385,0.8902,0.5985,0.7889,0.1081,0.4214,0.0931,0.9425,0.5464,0.6292,0.4561,-0.0662,0.4579,0.2959,1.0003,-0.3773,0.7342,0.4221,0.4511,0.5701,-0.1038,0.3664,0.3843,0.031,0.2855,0.2208,-0.0627,0.3384,0.2473,9,5,1.0
8727,1.0444,0.1091,0.6484,0.6199,0.7275,0.0814,0.7807,0.3977,0.9476,0.9839,0.8583,1.2684,1.1929,0.578,0.3614,0.5814,0.3956,0.6487,0.8485,0.3503,0.1404,0.3635,0.6986,1.0118,0.1664,0.4248,0.8736,0.4992,0.7338,0.2243,0.6967,-0.062,0.8309,0.0069,0.7563,0.8081,0.2762,-0.1629,0.2509,0.7917,0.8643,0.2576,0.3289,0.2098,1.246,0.6895,0.2372,0.9254,0.7939,0.0084,6,4,1.0
11549,0.1864,0.8838,0.4563,0.4268,0.3665,0.0307,1.1007,-0.14,-0.0955,0.8568,0.2991,0.4991,0.8963,0.7296,0.7906,0.3222,0.3133,-0.2111,0.5411,0.5172,0.8168,0.2692,0.2251,0.3428,0.1435,1.3002,0.9019,0.4518,0.6484,1.0169,0.7187,0.2193,0.2398,0.0395,-0.0396,-0.1111,0.6379,0.6512,0.1774,0.099,0.6106,0.2584,0.0415,0.6598,0.4911,0.5861,0.5466,0.6072,0.7774,0.1476,9,6,1.0
8337,0.4285,0.5246,0.8845,0.8559,0.4781,0.8046,-0.0675,0.4742,0.2034,-0.1303,0.4964,0.6886,0.3667,0.1968,0.8054,0.7395,-0.0862,-0.0206,0.7384,0.5616,1.1196,0.6556,0.0029,0.9995,0.4969,0.9081,0.2615,0.9382,1.1265,-0.0614,0.5419,0.4484,0.8545,0.7928,1.0146,0.6502,0.4709,0.6147,0.5872,0.5041,0.3191,0.1721,0.2292,0.1368,0.6234,0.1865,0.6819,0.135,0.2414,0.9788,6,8,1.0
3517,0.5447,1.333,0.1588,0.4841,0.6217,0.6974,0.7222,0.4511,-0.2575,-0.0826,0.9876,0.9189,0.0022,0.4686,-0.4501,0.1217,0.6895,-0.0132,0.2589,0.2754,0.3538,1.0699,0.6375,0.4025,0.2419,0.8293,0.6039,0.3881,0.755,0.1622,0.1885,0.0667,0.3911,-0.1794,0.2704,0.9946,0.5505,0.429,0.2126,0.1094,1.1007,0.1906,0.3933,0.0994,0.9316,0.9137,0.9033,0.5565,0.1456,0.2185,2,9,1.0
7584,0.9204,0.2549,0.7616,0.2246,0.3472,0.631,0.1504,0.6622,-0.025,0.9141,0.1222,0.7755,0.6952,0.6814,0.1807,0.2331,0.5961,1.0128,0.5091,1.0483,0.37,0.3079,0.373,1.1844,0.9266,-0.0634,0.4806,0.0956,0.3372,1.1053,0.7322,-0.0505,-0.254,0.211,0.1857,0.8707,0.7398,0.3842,0.2948,0.6815,0.7124,0.2901,-0.1096,0.6572,1.1894,0.1656,0.3679,0.5785,1.277,0.2632,6,6,1.0
586,0.7142,0.2842,0.4053,-0.3312,0.4216,0.7223,0.2556,0.31,1.1346,0.2321,-0.0468,0.2173,0.8835,1.0669,0.4622,-0.1671,0.7098,0.3638,0.6168,1.1816,0.9064,0.7949,0.5824,0.5351,0.6914,0.924,0.9732,1.1916,0.6259,0.5118,0.6405,0.8541,0.8149,0.6,0.0195,0.5446,-0.0291,0.013,0.4613,0.9946,1.0279,0.7712,-0.3072,0.7638,0.5755,0.4962,-0.2431,1.2625,0.4205,0.3651,0,5,1.0
